Error: name 'Options' is not defined
         453531 function calls (429260 primitive calls) in 0.406 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      250    0.048    0.000    0.048    0.000 {built-in method _io.open_code}
 4770/200    0.030    0.000    0.087    0.000 _parser.py:511(_parse)
    24/21    0.029    0.001    0.030    0.001 {built-in method _imp.create_dynamic}
 5535/192    0.021    0.000    0.049    0.000 _compiler.py:37(_compile)
      167    0.018    0.000    0.018    0.000 {built-in method marshal.loads}
  559/554    0.011    0.000    0.070    0.000 {built-in method builtins.__build_class__}
    69286    0.011    0.000    0.011    0.000 {method 'append' of 'list' objects}
        1    0.011    0.011    0.011    0.011 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
    29617    0.010    0.000    0.015    0.000 _parser.py:167(__getitem__)
61829/55519    0.010    0.000    0.012    0.000 {built-in method builtins.len}
       94    0.010    0.000    0.010    0.000 {built-in method posix.getcwd}
 1278/192    0.008    0.000    0.088    0.000 _parser.py:451(_parse_sub)
      904    0.007    0.000    0.011    0.000 _compiler.py:241(_optimize_charset)
 5488/379    0.007    0.000    0.010    0.000 _parser.py:177(getwidth)
        1    0.006    0.006    0.060    0.060 dammit.py:128(_populate_class_variables)
    37903    0.006    0.000    0.006    0.000 {built-in method builtins.isinstance}
    16820    0.006    0.000    0.009    0.000 _parser.py:260(get)
      961    0.006    0.000    0.006    0.000 {built-in method posix.stat}
    25677    0.005    0.000    0.005    0.000 _parser.py:239(__next)
      250    0.004    0.000    0.004    0.000 {method '__exit__' of '_io._IOBase' objects}
      494    0.004    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
    13280    0.003    0.000    0.005    0.000 _parser.py:255(match)
    12780    0.003    0.000    0.005    0.000 _parser.py:163(__len__)
       24    0.003    0.000    0.003    0.000 {built-in method _imp.exec_dynamic}
      496    0.003    0.000    0.004    0.000 css_types.py:41(__init__)
  637/607    0.003    0.000    0.004    0.000 {built-in method __new__ of type object at 0x103210220}
       21    0.003    0.000    0.003    0.000 {built-in method posix.listdir}
     2563    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
      250    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
     7467    0.002    0.000    0.004    0.000 _parser.py:175(append)
      258    0.002    0.000    0.154    0.001 __init__.py:330(_compile)
    14534    0.002    0.000    0.002    0.000 {built-in method builtins.min}
      220    0.002    0.000    0.036    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     2871    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
      125    0.002    0.000    0.005    0.000 _compiler.py:470(_get_charset_prefix)
      167    0.002    0.000    0.081    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
       16    0.002    0.000    0.004    0.000 enum.py:1749(convert_class)
      262    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap>:304(acquire)
    223/2    0.002    0.000    0.406    0.203 <frozen importlib._bootstrap>:1349(_find_and_load)
     9100    0.002    0.000    0.002    0.000 {built-in method builtins.ord}
     6031    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     4327    0.001    0.000    0.002    0.000 _parser.py:292(tell)
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      273    0.001    0.000    0.002    0.000 _compiler.py:389(_mk_bitmap)
3106/3038    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      341    0.001    0.000    0.005    0.000 css_parser.py:1108(selector_iter)
      904    0.001    0.000    0.002    0.000 _compiler.py:214(_compile_charset)
       69    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
     6209    0.001    0.000    0.001    0.000 _parser.py:112(__init__)
      334    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
     5460    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      167    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
     1058    0.001    0.000    0.002    0.000 _parser.py:311(_class_escape)
      216    0.001    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
    169/1    0.001    0.000    0.406    0.406 {built-in method builtins.exec}
      294    0.001    0.000    0.003    0.000 typing.py:173(_type_check)
     3738    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      192    0.001    0.000    0.010    0.000 _compiler.py:514(_compile_info)
       17    0.001    0.000    0.003    0.000 __init__.py:358(namedtuple)
     4258    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     1364    0.001    0.000    0.002    0.000 _parser.py:171(__setitem__)
     4621    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
    56/16    0.001    0.000    0.019    0.001 css_parser.py:925(parse_selectors)
      250    0.001    0.000    0.056    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
      262    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
    222/2    0.001    0.000    0.406    0.203 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      949    0.001    0.000    0.001    0.000 _parser.py:448(_uniq)
      192    0.001    0.000    0.150    0.001 _compiler.py:743(compile)
     2616    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      195    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     2585    0.001    0.000    0.003    0.000 css_parser.py:317(match)
      122    0.001    0.000    0.003    0.000 typing.py:1423(__init__)
     3840    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      807    0.001    0.000    0.001    0.000 typing.py:1368(__setattr__)
      262    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      802    0.001    0.000    0.001    0.000 _parser.py:371(_escape)
    195/2    0.001    0.000    0.405    0.203 <frozen importlib._bootstrap>:911(_load_unlocked)
      262    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:124(setdefault)
     1007    0.001    0.000    0.001    0.000 {built-in method fromkeys}
       10    0.001    0.000    0.004    0.000 enum.py:894(_convert_)
       79    0.001    0.000    0.006    0.000 css_parser.py:472(parse_attribute_selector)
      191    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
       34    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
      192    0.001    0.000    0.089    0.000 _parser.py:970(parse)
     3238    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
       22    0.001    0.000    0.969    0.044 __init__.py:1(<module>)
    167/2    0.001    0.000    0.405    0.203 <frozen importlib._bootstrap_external>:1020(exec_module)
      334    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
     1006    0.001    0.000    0.002    0.000 _compiler.py:401(_simple)
      190    0.001    0.000    0.001    0.000 enum.py:1603(__and__)
     1514    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      262    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
      743    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
      943    0.001    0.000    0.001    0.000 typing.py:1294(_is_dunder)
     1119    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
       15    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
      876    0.000    0.000    0.001    0.000 enum.py:1585(_get_value)
     2694    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     1587    0.000    0.000    0.001    0.000 {built-in method builtins.hasattr}
      142    0.000    0.000    0.001    0.000 css_parser.py:369(__init__)
       83    0.000    0.000    0.000    0.000 {built-in method _imp.source_hash}
    464/4    0.000    0.000    0.404    0.101 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      337    0.000    0.000    0.001    0.000 enum.py:825(__setattr__)
      167    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      960    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
      588    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
      412    0.000    0.000    0.001    0.000 _parser.py:264(getwhile)
  142/137    0.000    0.000    0.004    0.000 css_parser.py:395(freeze)
  195/191    0.000    0.000    0.035    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      191    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
      192    0.000    0.000    0.059    0.000 _compiler.py:576(_code)
      262    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
     1093    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1226(__exit__)
  736/679    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
     1093    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
