Error: name 'Options' is not defined
         453519 function calls (429250 primitive calls) in 0.416 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    69284    0.011    0.000    0.011    0.000 {method 'append' of 'list' objects}
61825/55517    0.010    0.000    0.012    0.000 {built-in method builtins.len}
    37901    0.006    0.000    0.006    0.000 {built-in method builtins.isinstance}
    29615    0.010    0.000    0.015    0.000 _parser.py:167(__getitem__)
    25677    0.005    0.000    0.005    0.000 _parser.py:239(__next)
    16820    0.006    0.000    0.009    0.000 _parser.py:260(get)
    14534    0.002    0.000    0.002    0.000 {built-in method builtins.min}
    13280    0.003    0.000    0.005    0.000 _parser.py:255(match)
    12778    0.003    0.000    0.005    0.000 _parser.py:163(__len__)
     9100    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     7467    0.002    0.000    0.004    0.000 _parser.py:175(append)
     6209    0.001    0.000    0.001    0.000 _parser.py:112(__init__)
     6031    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
 5535/192    0.021    0.000    0.049    0.000 _compiler.py:37(_compile)
 5488/379    0.007    0.000    0.010    0.000 _parser.py:177(getwidth)
     5460    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
 4770/200    0.030    0.000    0.087    0.000 _parser.py:511(_parse)
     4621    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
     4327    0.001    0.000    0.002    0.000 _parser.py:292(tell)
     4258    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     3840    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     3738    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     3238    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
3106/3038    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     2871    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
     2694    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     2616    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     2585    0.001    0.000    0.003    0.000 css_parser.py:317(match)
     2563    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
     1655    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
     1587    0.000    0.000    0.001    0.000 {built-in method builtins.hasattr}
     1575    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1575    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1514    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     1364    0.001    0.000    0.002    0.000 _parser.py:171(__setitem__)
 1278/192    0.007    0.000    0.088    0.000 _parser.py:451(_parse_sub)
     1119    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
     1093    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
     1093    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1226(__exit__)
     1058    0.001    0.000    0.002    0.000 _parser.py:311(_class_escape)
     1007    0.001    0.000    0.001    0.000 {built-in method fromkeys}
     1006    0.001    0.000    0.002    0.000 _compiler.py:401(_simple)
      994    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      961    0.006    0.000    0.006    0.000 {built-in method posix.stat}
      960    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
      949    0.001    0.000    0.001    0.000 _parser.py:448(_uniq)
      943    0.001    0.000    0.001    0.000 typing.py:1294(_is_dunder)
      942    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      904    0.001    0.000    0.002    0.000 _compiler.py:214(_compile_charset)
      904    0.007    0.000    0.012    0.000 _compiler.py:241(_optimize_charset)
      876    0.000    0.000    0.001    0.000 enum.py:1585(_get_value)
      820    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      807    0.001    0.000    0.001    0.000 typing.py:1368(__setattr__)
      802    0.001    0.000    0.001    0.000 _parser.py:371(_escape)
      755    0.000    0.000    0.000    0.000 _parser.py:82(groups)
      750    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      743    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
  736/679    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      732    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      668    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      666    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
  637/607    0.003    0.000    0.004    0.000 {built-in method __new__ of type object at 0x11023b220}
      588    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
  559/554    0.011    0.000    0.070    0.000 {built-in method builtins.__build_class__}
      550    0.000    0.000    0.000    0.000 typing.py:1096(__eq__)
      547    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      545    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      531    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      524    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      496    0.003    0.000    0.004    0.000 css_types.py:41(__init__)
      494    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      494    0.004    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
      484    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
    464/4    0.000    0.000    0.414    0.104 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      430    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      412    0.000    0.000    0.001    0.000 _parser.py:264(getwhile)
      399    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      384    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
      384    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      374    0.000    0.000    0.000    0.000 typing.py:1427(<genexpr>)
      360    0.000    0.000    0.000    0.000 typing.py:1437(__eq__)
      358    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:632(cached)
      357    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
      357    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      349    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      344    0.000    0.000    0.005    0.000 {built-in method builtins.next}
      341    0.001    0.000    0.005    0.000 css_parser.py:1108(selector_iter)
      340    0.000    0.000    0.000    0.000 _compiler.py:431(_get_iscased)
      337    0.000    0.000    0.001    0.000 enum.py:825(__setattr__)
      335    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
      334    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
      334    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
      325    0.000    0.000    0.000    0.000 css_parser.py:312(get_name)
      324    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
      317    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
      317    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
      308    0.000    0.000    0.002    0.000 typing.py:164(_type_convert)
      299    0.000    0.000    0.001    0.000 enum.py:695(__call__)
      299    0.000    0.000    0.001    0.000 enum.py:1152(__new__)
      294    0.001    0.000    0.003    0.000 typing.py:173(_type_check)
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
      281    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
      281    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      280    0.000    0.000    0.000    0.000 typing.py:1765(__eq__)
      278    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
      273    0.001    0.000    0.002    0.000 _compiler.py:389(_mk_bitmap)
      273    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      270    0.000    0.000    0.000    0.000 enum.py:1213(__init__)
      263    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      262    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
