('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         954719 function calls (927651 primitive calls) in 9.518 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    5.081    1.270    5.081    1.270 {built-in method time.sleep}
       11    2.845    0.259    2.845    0.259 {method 'recv_into' of '_socket.socket' objects}
      507    0.206    0.000    0.209    0.000 {method 'read' of '_io.BufferedReader' objects}
        2    0.124    0.062    0.124    0.062 {method 'do_handshake' of '_ssl._SSLSocket' objects}
       11    0.110    0.010    0.110    0.010 {method 'connect' of '_socket.socket' objects}
       24    0.110    0.005    0.110    0.005 {method 'read' of '_ssl._SSLSocket' objects}
      486    0.107    0.000    0.107    0.000 {built-in method _io.open_code}
    32116    0.037    0.000    0.037    0.000 {method 'match' of 're.Pattern' objects}
     3533    0.037    0.000    0.200    0.000 parser.py:301(parse_starttag)
    29/27    0.037    0.001    0.041    0.002 {built-in method _imp.create_dynamic}
 4884/234    0.031    0.000    0.091    0.000 _parser.py:511(_parse)
      354    0.030    0.000    0.030    0.000 {built-in method marshal.loads}
        2    0.025    0.013    0.327    0.163 parser.py:134(goahead)
 5713/226    0.022    0.000    0.051    0.000 _compiler.py:37(_compile)
    95980    0.017    0.000    0.017    0.000 {method 'append' of 'list' objects}
     3533    0.016    0.000    0.092    0.000 __init__.py:987(handle_starttag)
     3533    0.016    0.000    0.024    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
  990/883    0.015    0.000    0.125    0.000 {built-in method builtins.__build_class__}
       13    0.014    0.001    0.014    0.001 {built-in method posix.read}
      122    0.014    0.000    0.014    0.000 {built-in method posix.getcwd}
78348/71831    0.013    0.000    0.015    0.000 {built-in method builtins.len}
     3533    0.012    0.000    0.054    0.000 _htmlparser.py:204(handle_endtag)
     3533    0.012    0.000    0.110    0.000 _htmlparser.py:142(handle_starttag)
        1    0.012    0.012    0.012    0.012 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        8    0.012    0.002    0.012    0.002 decoder.py:351(raw_decode)
67930/67896    0.012    0.000    0.012    0.000 {built-in method builtins.isinstance}
     7323    0.012    0.000    0.050    0.000 __init__.py:826(endData)
        1    0.011    0.011    0.011    0.011 {method 'set_default_verify_paths' of '_ssl._SSLContext' objects}
     1820    0.011    0.000    0.011    0.000 {built-in method posix.stat}
    30681    0.011    0.000    0.016    0.000 _parser.py:167(__getitem__)
       13    0.010    0.001    0.010    0.001 {built-in method _posixsubprocess.fork_exec}
     3534    0.010    0.000    0.040    0.000 element.py:1626(__init__)
    10272    0.010    0.000    0.010    0.000 element.py:376(setup)
     3280    0.009    0.000    0.069    0.000 parser.py:379(parse_endtag)
    10524    0.009    0.000    0.009    0.000 {method 'search' of 're.Pattern' objects}
    16086    0.008    0.000    0.008    0.000 {method 'group' of 're.Match' objects}
       49    0.008    0.000    0.008    0.000 {built-in method posix.listdir}
      487    0.008    0.000    0.008    0.000 {method '__exit__' of '_io._IOBase' objects}
 1367/226    0.008    0.000    0.092    0.000 _parser.py:451(_parse_sub)
 5703/451    0.008    0.000    0.010    0.000 _parser.py:177(getwidth)
      970    0.008    0.000    0.012    0.000 _compiler.py:241(_optimize_charset)
4539/4469    0.008    0.000    0.009    0.000 {built-in method __new__ of type object at 0x1073dc220}
     3369    0.008    0.000    0.011    0.000 __init__.py:732(string_container)
     3533    0.007    0.000    0.014    0.000 __init__.py:950(_popToTag)
    13914    0.007    0.000    0.011    0.000 _markupbase.py:44(updatepos)
      354    0.007    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
    25202    0.007    0.000    0.007    0.000 {method 'get' of 'dict' objects}
    18021    0.006    0.000    0.010    0.000 _parser.py:260(get)
     3534    0.006    0.000    0.008    0.000 __init__.py:809(pushTag)
      772    0.006    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
     3369    0.006    0.000    0.015    0.000 __init__.py:867(object_was_parsed)
        2    0.006    0.003    0.006    0.003 {built-in method _scproxy._get_proxy_settings}
     3369    0.006    0.000    0.012    0.000 element.py:1291(__new__)
        8    0.006    0.001    0.006    0.001 {built-in method _socket.getaddrinfo}
    20152    0.006    0.000    0.006    0.000 {method 'lower' of 'str' objects}
8395/8305    0.005    0.000    0.019    0.000 typing.py:426(inner)
    27188    0.005    0.000    0.005    0.000 _parser.py:239(__next)
     4149    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
      575    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        1    0.004    0.004    0.058    0.058 dammit.py:128(_populate_class_variables)
     3533    0.004    0.000    0.005    0.000 __init__.py:786(popTag)
    19399    0.004    0.000    0.004    0.000 {method 'end' of 're.Match' objects}
      417    0.004    0.000    0.062    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     2769    0.004    0.000    0.004    0.000 {method 'findall' of 're.Pattern' objects}
     3533    0.004    0.000    0.041    0.000 __init__.py:1053(handle_endtag)
     3533    0.004    0.000    0.016    0.000 parser.py:345(check_for_whole_start_tag)
      354    0.004    0.000    0.172    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
    10226    0.004    0.000    0.004    0.000 {method 'count' of 'str' objects}
       40    0.004    0.000    0.021    0.001 filter.py:129(filter)
    17986    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
9380/9312    0.004    0.000    0.004    0.000 {method 'join' of 'str' objects}
     6934    0.004    0.000    0.014    0.000 filter.py:721(match)
    13815    0.004    0.000    0.005    0.000 _parser.py:255(match)
    13154    0.004    0.000    0.005    0.000 _parser.py:163(__len__)
       29    0.003    0.000    0.006    0.000 {built-in method _imp.exec_dynamic}
    361/1    0.003    0.000    9.518    9.518 {built-in method builtins.exec}
      496    0.003    0.000    0.004    0.000 css_types.py:41(__init__)
     1958    0.003    0.000    0.003    0.000 __init__.py:906(_linkage_fixer)
      575    0.003    0.000    0.009    0.000 <frozen importlib._bootstrap>:304(acquire)
    426/6    0.003    0.000    0.588    0.098 <frozen importlib._bootstrap>:1349(_find_and_load)
       13    0.003    0.000    0.036    0.003 subprocess.py:816(__init__)
      367    0.003    0.000    0.163    0.000 __init__.py:330(_compile)
     1291    0.003    0.000    0.003    0.000 {method 'decode' of 'bytes' objects}
     7757    0.003    0.000    0.004    0.000 _parser.py:175(append)
     3550    0.002    0.000    0.009    0.000 filter.py:538(matches_tag)
      708    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
    14936    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     3253    0.002    0.000    0.004    0.000 _htmlparser.py:222(handle_data)
       20    0.002    0.000    0.005    0.000 enum.py:1749(convert_class)
     7337    0.002    0.000    0.009    0.000 {built-in method builtins.next}
      138    0.002    0.000    0.005    0.000 _compiler.py:470(_get_charset_prefix)
       25    0.002    0.000    0.002    0.000 {built-in method builtins.eval}
     7101    0.002    0.000    0.002    0.000 {method 'start' of 're.Match' objects}
     9112    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
    424/6    0.002    0.000    0.587    0.098 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      651    0.002    0.000    0.005    0.000 typing.py:173(_type_check)
     3533    0.002    0.000    0.002    0.000 element.py:1820(is_empty_element)
     8015    0.002    0.000    0.002    0.000 __init__.py:122(unescape)
      486    0.002    0.000    0.121    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
     7733    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
    10273    0.002    0.000    0.002    0.000 {built-in method builtins.ord}
      387    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      575    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
      413    0.002    0.000    0.053    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
4840/4833    0.002    0.000    0.003    0.000 {built-in method builtins.getattr}
       13    0.002    0.000    0.030    0.002 subprocess.py:1810(_execute_child)
     6948    0.002    0.000    0.002    0.000 element.py:2771(descendants)
     1671    0.002    0.000    0.003    0.000 typing.py:1368(__setattr__)
     4587    0.002    0.000    0.002    0.000 _parser.py:292(tell)
      279    0.001    0.000    0.002    0.000 _compiler.py:389(_mk_bitmap)
      755    0.001    0.000    0.005    0.000 filter.py:616(_attribute_match)
     3381    0.001    0.000    0.002    0.000 __init__.py:1065(handle_data)
      575    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:124(setdefault)
    11228    0.001    0.000    0.001    0.000 typing.py:2371(cast)
      383    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
    387/7    0.001    0.000    0.585    0.084 <frozen importlib._bootstrap>:911(_load_unlocked)
